epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr,epoch_elapsed_sec,checkpoint_path,phase,loss,abs_rel,rmse,si_rmse,valid_pixel_fraction,n_batches,n_samples,elapsed_sec,samples_per_sec
45,44,2026-05-24 23:25:15,128,8,3000,500,3000,500,cuda,0.001,50.469969511032104,/content/model_checkpoint.pt,train,0.8935110061963399,5.5642911901474,0.12616551704704762,0.9063618106842041,0.539487060546875,375,3000,43.5867760181427,68.82821520800874
45,44,2026-05-24 23:25:15,128,8,3000,500,3000,500,cuda,0.001,50.469969511032104,/content/model_checkpoint.pt,val,0.9548056702765207,6.447675994464329,0.13534685942743505,0.9323452124519954,0.5110517578125,63,500,6.88275933265686,72.64528306657958
46,45,2026-05-24 23:26:06,128,8,3000,500,3000,500,cuda,0.001,50.59552216529846,/content/model_checkpoint.pt,train,0.8902337413628896,5.595761468887329,0.12518079459667206,0.899447321097056,0.539487060546875,375,3000,43.650585651397705,68.72760021958466
46,45,2026-05-24 23:26:06,128,8,3000,500,3000,500,cuda,0.001,50.59552216529846,/content/model_checkpoint.pt,val,1.0098774825769758,5.246476688082256,0.15189299977842777,0.9553524151680961,0.5110517578125,63,500,6.944515943527222,71.99925870514204
47,46,2026-05-24 23:26:56,128,8,3000,500,3000,500,cuda,0.001,50.63725686073303,/content/model_checkpoint.pt,train,0.8744486243724823,5.472773084958394,0.12335026463866233,0.893510182539622,0.539487060546875,375,3000,43.65963912010193,68.71334854022486
47,46,2026-05-24 23:26:56,128,8,3000,500,3000,500,cuda,0.001,50.63725686073303,/content/model_checkpoint.pt,val,0.9973858225913275,4.624218596352471,0.14234985765956698,0.9414249138226585,0.5110517578125,63,500,6.977196216583252,71.66202360937056
48,47,2026-05-24 23:27:47,128,8,3000,500,3000,500,cuda,0.001,50.649195432662964,/content/model_checkpoint.pt,train,0.8766080057621002,5.363236958185832,0.12341826597849528,0.8917931315104166,0.539487060546875,375,3000,43.67570734024048,68.68806901350305
48,47,2026-05-24 23:27:47,128,8,3000,500,3000,500,cuda,0.001,50.649195432662964,/content/model_checkpoint.pt,val,0.9699349630446661,6.675685358425928,0.1368515155322495,0.9354281548469786,0.5110517578125,63,500,6.973062038421631,71.70451047832297
49,48,2026-05-24 23:28:37,128,8,3000,500,3000,500,cuda,0.001,50.436135053634644,/content/model_checkpoint.pt,train,0.8612270951271057,5.315609570503235,0.12267578667402268,0.8873100859324138,0.539487060546875,375,3000,43.49004530906677,68.98130316214139
49,48,2026-05-24 23:28:37,128,8,3000,500,3000,500,cuda,0.001,50.436135053634644,/content/model_checkpoint.pt,val,1.0046868078292361,5.770575655831231,0.13918078758768618,0.9623606507740323,0.5110517578125,63,500,6.945668697357178,71.9873091830956
50,49,2026-05-24 23:29:28,128,8,3000,500,3000,500,cuda,0.001,50.41748023033142,/content/model_checkpoint.pt,train,0.8516520971457163,5.391384773572286,0.11877307784557342,0.8847436243693034,0.539487060546875,375,3000,43.450462341308594,69.04414448883513
50,49,2026-05-24 23:29:28,128,8,3000,500,3000,500,cuda,0.001,50.41748023033142,/content/model_checkpoint.pt,val,1.017621825138728,5.1374001692211815,0.1368684351503376,0.9614662546960134,0.5110517578125,63,500,6.966592311859131,71.77110093680336
51,50,2026-05-24 23:30:18,128,8,3000,500,3000,500,cuda,0.001,50.624462366104126,/content/model_checkpoint.pt,train,0.8396035669644674,5.271490757465362,0.1216836155851682,0.8802595040003459,0.539487060546875,375,3000,43.58145570755005,68.83661757723894
